databaseID,temporalSubjectText,temporalSubjectURI
3555987,"Civil War, 1861-1865",
3555995,"Civil War, 1861-1865",
3556001,"Civil War, 1861-1865",
3556010,"Civil War, 1861-1865",
3556017,"Civil War, 1861-1865",
3556025,"Civil War, 1861-1865",
3556032,"Civil War, 1861-1865",
3556038,"Civil War, 1861-1865",
3556047,"Civil War, 1861-1865",
3556055,"Civil War, 1861-1865",
3556062,"Civil War, 1861-1865",
3556069,"Civil War, 1861-1865",
3556078,"Civil War, 1861-1865",
3556083,"Civil War, 1861-1865",
3556089,"Civil War, 1861-1865",
3556094,"Civil War, 1861-1865",
3556101,"Civil War, 1861-1865",
3556107,"Civil War, 1861-1865",
3556117,"Civil War, 1861-1865",
3556122,"Civil War, 1861-1865",
3556131,"Civil War, 1861-1865",
3556138,"Civil War, 1861-1865",
3556144,"Civil War, 1861-1865",
3556152,"Civil War, 1861-1865",
3556159,"Civil War, 1861-1865",
3556167,"Civil War, 1861-1865",
3556176,"Civil War, 1861-1865",
3556184,"Civil War, 1861-1865",
3556192,"Civil War, 1861-1865",
3556200,"Civil War, 1861-1865",
3556207,"Civil War, 1861-1865",
3556216,"Civil War, 1861-1865",
3556223,"Civil War, 1861-1865",
3556231,"Civil War, 1861-1865",
3556237,"Civil War, 1861-1865",
3556247,"Civil War, 1861-1865",
3556255,"Civil War, 1861-1865",
3556260,"Civil War, 1861-1865",
3556269,"Civil War, 1861-1865",
3556274,"Civil War, 1861-1865",
3556281,"Civil War, 1861-1865",
3556291,"Civil War, 1861-1865",
3556294,"Civil War, 1861-1865",
3556303,"Civil War, 1861-1865",
3556311,"Civil War, 1861-1865",
3556318,"Civil War, 1861-1865",
3556325,"Civil War, 1861-1865",
3556332,"Civil War, 1861-1865",
3556339,"Civil War, 1861-1865",
3556347,"Civil War, 1861-1865",
3556353,"Civil War, 1861-1865",
3556360,"Civil War, 1861-1865",
3556366,"Civil War, 1861-1865",
3556372,"Civil War, 1861-1865",
3557732,"1850-1859",
3557739,"1850-1859",
3557744,"1850-1859",
3557825,"1880-1889",
3558003,"1880-1889",
3558110,"1800-1899",
3558117,"1800-1899",
